Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)

TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11887,0.00819481,1.5113,19.2899,0.0203252,3.7484
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96134,0,1.81752,0.00102654,0.0727652,0,0.111504,6.7872e-06,0.115897,0,1.23285,0.0010195,0.0183193,0,0.0876581,6.69771e-06,, , 0.0677947,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134866,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.69771e-06,0.0585562
2,15.1239,15.1814,11.3422,0.0109956,0.500143,0.503861,3.47523,0.000463568,3.68322,3.74072,9.61563,0.0106821,0.174318,0.178035,2.60678,2.85113e-05,, , 0.531325,6.59864,0.293982,15.1163,9.97854,9.61563,0.0106821,0.0155217,0.204243,0.129148,0.0189621,0.00853657,0.640836,2.60678,2.85113e-05,0.920125
3,4.20602,4.23113,7.27529,0.0213415,0.173734,0.175261,2.85432,0.00117785,0.891835,0.916939,6.41712,0.0207145,0.0700919,0.0716187,1.12479,0.000145385,, , 0.23097,1.44982,0.127988,5.23262,3.22802,6.41712,0.0207145,0.0293457,0.0916622,0.0417726,0.0082758,0.00755516,0.204585,1.12479,0.000145385,1.73961
4,6.18031,6.23698,7.7669,0.0421515,0.278272,0.282021,5.61028,0.00130826,1.10632,1.16299,6.41609,0.0408975,0.135762,0.139511,2.15227,0.000319677,, , 0.471574,1.54823,0.249511,8.74862,4.69842,6.41609,0.0408975,0.0584488,0.182707,0.0761984,0.0163672,0.0118465,0.284231,2.15227,0.000319677,3.46485
5,1.53232,1.55317,7.03781,0.081289,0.087993,0.0892829,7.68313,0.000993258,0.276613,0.29747,5.50199,0.0787809,0.048437,0.049727,0.769289,0.000467082,, , 0.175325,0.307138,0.0916197,6.2831,1.66068,5.50199,0.0787809,0.116473,0.0681126,0.024022,0.00602939,0.017688,0.0855392,0.769289,0.000467082,6.90454
6,2.44453,2.48856,8.4399,0.159415,0.15054,0.153469,15.3304,0.000602213,0.447805,0.491833,5.50252,0.154399,0.0965315,0.0994597,1.50307,0.000484024,, , 0.34912,0.409594,0.180924,11.9572,2.76674,5.50252,0.154399,0.232886,0.137241,0.0467762,0.0119736,0.0313899,0.125166,1.50307,0.000484024,13.8055
7,0.470093,0.471235,9.5755,0.299957,0.0296675,0.0299987,49.3627,0.000258877,0.385855,0.386997,0.0130044,0.282873,0.0163417,0.016673,0.199939,4.1653e-05,, , 0.0100697,0.757676,0.00510665,12.0326,0.287429,0.0130044,0.282873,0.827824,0.0135061,0.0183357,0.00117302,0.107445,0.0520212,0.199939,4.1653e-05,49.0734
8,0.0286208,0.0287573,0.0180447,0.000744712,0.000539251,0.000545337,0.0602466,3.52017e-07,0.00198479,0.0021213,0.00207381,0.000723857,8.73974e-05,9.34841e-05,0.000227484,8.68503e-08,, , 0.00127238,0.00218914,0.000644581,0.0803593,0.0212412,0.00207381,0.000723857,0.00101147,7.36656e-05,8.89254e-05,1.82905e-05,0.000321226,0.00074128,0.000227484,8.68503e-08,0.0599602
Total,37.9472,30.1913,53.2731,0.616922,1.29366,1.23444,84.4878,0.00481116,6.90953,6.99908,34.7013,0.59009,0.559888,0.555117,8.44402,0.00149312,, , 1.83745,11.0806,0.990543,66.3248,24.208,34.7013,0.59009,1.2825,0.711032,0.339823,0.0641507,0.186405,1.4432,8.44402,0.00149312,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11887,0.00819481,1.5113,19.2899,0.0203252,3.7484
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96376,0,1.81515,-11661.7,0.0863149,0,0.106323,3.17431e+248,0.118307,0,1.23048,-11661.7,0.031869,0,0.0824774,3.17431e+248,, , 0.0702049,0.00733546,0.0407669,6.87397,1.56697,1.23048,-11661.7,0.000987789,0.0270717,0.00348139,0.00131584,0.00162304,0.0500789,0.0824774,3.17431e+248,0.0585562
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96362,0,1.81515,-11661.7,0.08876,0,0.106323,3.17431e+248,0.118168,0,1.23048,-11661.7,0.0343141,0,0.0824774,3.17431e+248,, , 0.0700657,0.00733546,0.0407669,6.87397,1.56697,1.23048,-11661.7,0.000987789,0.0295168,0.00348139,0.00131584,0.00162304,0.0500789,0.0824774,3.17431e+248,0.0585562
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96376,0,1.81515,-11661.7,0.0863944,0,0.106323,3.17431e+248,0.118307,0,1.23048,-11661.7,0.0319485,0,0.0824774,3.17431e+248,, , 0.0702049,0.00733546,0.0407669,6.87397,1.56697,1.23048,-11661.7,0.000987789,0.0271513,0.00348139,0.00131584,0.00162304,0.0500789,0.0824774,3.17431e+248,0.0585562
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96376,0,1.81515,-11661.7,0.0863148,0,0.106323,3.17431e+248,0.118307,0,1.23048,-11661.7,0.0318688,0,0.0824774,3.17431e+248,, , 0.0702049,0.00733546,0.0407669,6.87397,1.56697,1.23048,-11661.7,0.000987789,0.0270716,0.00348139,0.00131584,0.00162304,0.0500789,0.0824774,3.17431e+248,0.0585562
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96134,0,1.81752,0.00102654,0.0727652,0,0.111504,6.7872e-06,0.115897,0,1.23285,0.0010195,0.0183193,0,0.0876581,6.69771e-06,, , 0.0677947,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134866,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.69771e-06,0.0585562
2,15.1239,15.1814,11.3422,0.0109956,0.500143,0.503861,3.47523,0.000463568,3.68322,3.74072,9.61563,0.0106821,0.174318,0.178035,2.60678,2.85113e-05,, , 0.531325,6.59864,0.293982,15.1163,9.97854,9.61563,0.0106821,0.0155217,0.204243,0.129148,0.0189621,0.00853657,0.640836,2.60678,2.85113e-05,0.920125
3,4.20602,4.23113,7.27529,0.0213415,0.173734,0.175261,2.85432,0.00117785,0.891835,0.916939,6.41712,0.0207145,0.0700919,0.0716187,1.12479,0.000145385,, , 0.23097,1.44982,0.127988,5.23262,3.22802,6.41712,0.0207145,0.0293457,0.0916622,0.0417726,0.0082758,0.00755516,0.204585,1.12479,0.000145385,1.73961
4,6.18031,6.23698,7.7669,0.0421515,0.278272,0.282021,5.61028,0.00130826,1.10632,1.16299,6.41609,0.0408975,0.135762,0.139511,2.15227,0.000319677,, , 0.471574,1.54823,0.249511,8.74862,4.69842,6.41609,0.0408975,0.0584488,0.182707,0.0761984,0.0163672,0.0118465,0.284231,2.15227,0.000319677,3.46485
5,1.53232,1.55317,7.03781,0.081289,0.087993,0.0892829,7.68313,0.000993258,0.276613,0.29747,5.50199,0.0787809,0.048437,0.049727,0.769289,0.000467082,, , 0.175325,0.307138,0.0916197,6.2831,1.66068,5.50199,0.0787809,0.116473,0.0681126,0.024022,0.00602939,0.017688,0.0855392,0.769289,0.000467082,6.90454
6,2.44453,2.48856,8.4399,0.159415,0.15054,0.153469,15.3304,0.000602213,0.447805,0.491833,5.50252,0.154399,0.0965315,0.0994597,1.50307,0.000484024,, , 0.34912,0.409594,0.180924,11.9572,2.76674,5.50252,0.154399,0.232886,0.137241,0.0467762,0.0119736,0.0313899,0.125166,1.50307,0.000484024,13.8055
7,0.470093,0.471235,9.5755,0.299957,0.0296675,0.0299987,49.3627,0.000258877,0.385855,0.386997,0.0130044,0.282873,0.0163417,0.016673,0.199939,4.1653e-05,, , 0.0100697,0.757676,0.00510665,12.0326,0.287429,0.0130044,0.282873,0.827824,0.0135061,0.0183357,0.00117302,0.107445,0.0520212,0.199939,4.1653e-05,49.0734
8,0.0286208,0.0287573,0.0180447,0.000744712,0.000539251,0.000545337,0.0602466,3.52017e-07,0.00198479,0.0021213,0.00207381,0.000723857,8.73974e-05,9.34841e-05,0.000227484,8.68503e-08,, , 0.00127238,0.00218914,0.000644581,0.0803593,0.0212412,0.00207381,0.000723857,0.00101147,7.36656e-05,8.89254e-05,1.82905e-05,0.000321226,0.00074128,0.000227484,8.68503e-08,0.0599602
Total,37.9472,30.1913,53.2731,0.616922,1.29366,1.23444,84.4878,0.00481116,6.90953,6.99908,34.7013,0.59009,0.559888,0.555117,8.44402,0.00149312,, , 1.83745,11.0806,0.990543,66.3248,24.208,34.7013,0.59009,1.2825,0.711032,0.339823,0.0641507,0.186405,1.4432,8.44402,0.00149312,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11887,0.00819481,1.5113,19.2899,0.0203252,3.7484
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96134,0,1.81752,0.00102654,0.0727652,0,0.111504,6.7872e-06,0.115897,0,1.23285,0.0010195,0.0183193,0,0.0876581,6.69771e-06,, , 0.0677947,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134866,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.69771e-06,0.0585562
2,15.1239,15.1814,11.3422,0.0109956,0.500143,0.503861,3.47523,0.000463568,3.68322,3.74072,9.61563,0.0106821,0.174318,0.178035,2.60678,2.85113e-05,, , 0.531325,6.59864,0.293982,15.1163,9.97854,9.61563,0.0106821,0.0155217,0.204243,0.129148,0.0189621,0.00853657,0.640836,2.60678,2.85113e-05,0.920125
3,4.20602,4.23113,7.27529,0.0213415,0.173734,0.175261,2.85432,0.00117785,0.891835,0.916939,6.41712,0.0207145,0.0700919,0.0716187,1.12479,0.000145385,, , 0.23097,1.44982,0.127988,5.23262,3.22802,6.41712,0.0207145,0.0293457,0.0916622,0.0417726,0.0082758,0.00755516,0.204585,1.12479,0.000145385,1.73961
4,6.18031,6.23698,7.7669,0.0421515,0.278272,0.282021,5.61028,0.00130826,1.10632,1.16299,6.41609,0.0408975,0.135762,0.139511,2.15227,0.000319677,, , 0.471574,1.54823,0.249511,8.74862,4.69842,6.41609,0.0408975,0.0584488,0.182707,0.0761984,0.0163672,0.0118465,0.284231,2.15227,0.000319677,3.46485
5,1.53232,1.55317,7.03781,0.081289,0.087993,0.0892829,7.68313,0.000993258,0.276613,0.29747,5.50199,0.0787809,0.048437,0.049727,0.769289,0.000467082,, , 0.175325,0.307138,0.0916197,6.2831,1.66068,5.50199,0.0787809,0.116473,0.0681126,0.024022,0.00602939,0.017688,0.0855392,0.769289,0.000467082,6.90454
6,2.44453,2.48856,8.4399,0.159415,0.15054,0.153469,15.3304,0.000602213,0.447805,0.491833,5.50252,0.154399,0.0965315,0.0994597,1.50307,0.000484024,, , 0.34912,0.409594,0.180924,11.9572,2.76674,5.50252,0.154399,0.232886,0.137241,0.0467762,0.0119736,0.0313899,0.125166,1.50307,0.000484024,13.8055
7,0.470093,0.471235,9.5755,0.299957,0.0296675,0.0299987,49.3627,0.000258877,0.385855,0.386997,0.0130044,0.282873,0.0163417,0.016673,0.199939,4.1653e-05,, , 0.0100697,0.757676,0.00510665,12.0326,0.287429,0.0130044,0.282873,0.827824,0.0135061,0.0183357,0.00117302,0.107445,0.0520212,0.199939,4.1653e-05,49.0734
8,0.0286208,0.0287573,0.0180447,0.000744712,0.000539251,0.000545337,0.0602466,3.52017e-07,0.00198479,0.0021213,0.00207381,0.000723857,8.73974e-05,9.34841e-05,0.000227484,8.68503e-08,, , 0.00127238,0.00218914,0.000644581,0.0803593,0.0212412,0.00207381,0.000723857,0.00101147,7.36656e-05,8.89254e-05,1.82905e-05,0.000321226,0.00074128,0.000227484,8.68503e-08,0.0599602
Total,37.9472,30.1913,53.2731,0.616922,1.29366,1.23444,84.4878,0.00481116,6.90953,6.99908,34.7013,0.59009,0.559888,0.555117,8.44402,0.00149312,, , 1.83745,11.0806,0.990543,66.3248,24.208,34.7013,0.59009,1.2825,0.711032,0.339823,0.0641507,0.186405,1.4432,8.44402,0.00149312,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11887,0.00819481,1.5113,19.2899,0.0203252,3.7484
