Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96137,0,1.81752,0.00101404,0.0727703,0,0.111504,5.04975e-06,0.115925,0,1.23285,0.001007,0.0183244,0,0.0876581,4.96026e-06,, , 0.0678228,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.001007,0.000987789,0.0134917,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,4.96026e-06,0.0585562
2,15.1241,15.1816,11.3422,0.0107362,0.500961,0.504665,3.50291,0.00134601,3.68335,3.74086,9.61566,0.0104227,0.175136,0.178839,2.63446,8.36642e-05,, , 0.531585,6.59864,0.293982,15.1163,9.97854,9.61566,0.0104227,0.0155217,0.205862,0.129148,0.0189649,0.00853657,0.640836,2.63446,8.36642e-05,0.920125
3,4.2066,4.2317,7.275,0.0211593,0.173418,0.175018,2.84225,0.000911231,0.892411,0.917516,6.41683,0.0205322,0.0697755,0.0713749,1.11272,0.000112057,, , 0.232123,1.44982,0.127988,5.23262,3.22802,6.41683,0.0205322,0.0293457,0.0911171,0.0417726,0.00826078,0.00755516,0.204585,1.11272,0.000112057,1.73961
4,6.17691,6.23358,7.76751,0.0430371,0.277473,0.280924,5.65857,0.000907928,1.10292,1.15959,6.41669,0.0417831,0.134963,0.138414,2.20055,0.000219595,, , 0.464773,1.54823,0.249511,8.74862,4.69842,6.41669,0.0417831,0.0584488,0.180749,0.0761984,0.0164287,0.0118465,0.284231,2.20055,0.000219595,3.46485
5,1.5302,1.55106,7.03846,0.0788623,0.0879191,0.0890486,7.70087,0.000877097,0.2745,0.295357,5.50264,0.0763542,0.0483631,0.0494927,0.787037,0.000409001,, , 0.171099,0.307138,0.0916197,6.2831,1.66068,5.50264,0.0763542,0.116473,0.0677712,0.024022,0.00606256,0.017688,0.0855392,0.787037,0.000409001,6.90454
6,2.44572,2.48975,8.44062,0.154065,0.150307,0.152878,15.366,0.000488352,0.448994,0.493022,5.50325,0.149049,0.096298,0.0988694,1.53858,0.000370163,, , 0.351497,0.409594,0.180924,11.9572,2.76674,5.50325,0.149049,0.232886,0.136344,0.0467762,0.0120474,0.0313899,0.125166,1.53858,0.000370163,13.8055
7,0.470046,0.471188,9.5756,0.276883,0.0297617,0.0300687,49.3679,0.000254452,0.385808,0.38695,0.0131027,0.259798,0.016436,0.016743,0.205195,3.72276e-05,, , 0.009976,0.757676,0.00510665,12.0326,0.287429,0.0131027,0.259798,0.827824,0.0136653,0.0183357,0.00117805,0.107445,0.0520212,0.205195,3.72276e-05,49.0734
8,0.0286217,0.0287582,0.0180222,0.000880855,0.00053906,0.000545234,0.0602445,3.80255e-07,0.00198569,0.00212219,0.0020513,0.00086,8.72073e-05,9.33809e-05,0.000225339,1.15088e-07,, , 0.00127416,0.00218914,0.000644581,0.0803593,0.0212412,0.0020513,0.00086,0.00101147,7.33902e-05,8.89254e-05,1.82725e-05,0.000321226,0.00074128,0.000225339,1.15088e-07,0.0599602
Total,37.9435,30.1876,53.2749,0.586638,1.29315,1.23315,84.6102,0.0047905,6.90589,6.99541,34.7031,0.559806,0.559382,0.553826,8.56643,0.00123678,, , 1.83015,11.0806,0.990543,66.3248,24.208,34.7031,0.559806,1.2825,0.709074,0.339823,0.0643121,0.186405,1.4432,8.56643,0.00123678,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11594,0.00819721,1.51174,19.0501,0.02034,3.75113
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96347,0,1.81515,-11661.7,0.0862394,0,0.106323,3.17431e+248,0.118019,0,1.23048,-11661.7,0.0317935,0,0.0824774,3.17431e+248,, , 0.0699164,0.00733546,0.0407669,6.87397,1.56697,1.23048,-11661.7,0.000987789,0.0269963,0.00348139,0.00131584,0.00162304,0.0500789,0.0824774,3.17431e+248,0.0585562
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96347,0,1.81515,-11661.7,0.0861605,0,0.106323,3.17431e+248,0.118019,0,1.23048,-11661.7,0.0317145,0,0.0824774,3.17431e+248,, , 0.0699164,0.00733546,0.0407669,6.87397,1.56697,1.23048,-11661.7,0.000987789,0.0269173,0.00348139,0.00131584,0.00162304,0.0500789,0.0824774,3.17431e+248,0.0585562
